country_from,country_to,distance,gravity,flow,offset,GDPDiff,GDPDiffabs,offsetabs
MY,CD,8958.827,17.2363,2.1972,-1.6351,9058.0631,9058.0631,1.6351
SK,AL,836.5191,16.9207,0.69315,-1.6337,12349.0914,12349.0914,1.6337
PT,HN,7924.0006,14.2199,3.4012,1.633,17452.1506,17452.1506,1.633
SY,TJ,2892.7612,16.7724,0,-1.6304,904.5461,904.5461,1.6304
LU,AF,5232.1894,13.5117,0,1.6303,102269.5428,102269.5428,1.6303
NP,PY,16246.2091,13.5124,0,1.6297,-3350.6721,3350.6721,1.6297
SE,BR,10342.9702,16.7716,0,-1.6296,42949.9204,42949.9204,1.6296
GB,BF,4799.6852,17.7882,4.8675,-1.6289,39249.6579,39249.6579,1.6289
AF,MX,13530.8842,16.9995,1.0986,-1.6278,-7639.5275,7639.5275,1.6278
RO,MX,10644.8986,16.9147,0.69315,-1.6278,1272.8244,1272.8244,1.6278
GB,ZA,9880.6093,17.4422,3.2189,-1.6274,34625.7945,34625.7945,1.6274
NO,MZ,9129.8234,14.4088,4.2767,1.6271,70430.4081,70430.4081,1.6271
ID,ML,12984.6727,17.143,1.7918,-1.6265,2789.7878,2789.7878,1.6265
FR,VN,10073.0646,17.9283,5.5568,-1.6249,34669.278,34669.278,1.6249
KR,MN,2323.8584,17.1734,1.9459,-1.6246,23852.3544,23852.3544,1.6246
TN,KE,4791.987,16.9963,1.0986,-1.6246,2233.2866,2233.2866,1.6246
BS,NG,9189.2269,13.6667,0.69315,1.6202,20946.4014,20946.4014,1.6202
NZ,AF,13723.3844,13.6688,0.69315,1.6181,38864.8447,38864.8447,1.6181
CH,DO,7629.6261,14.2418,3.434,1.618,72090.4272,72090.4272,1.618
AE,TZ,3900.6715,17.3376,2.7726,-1.6161,36743.0137,36743.0137,1.6161
IS,TR,4488.4518,14.0925,2.7081,1.6155,49189.3332,49189.3332,1.6155
PK,SL,8685.3253,16.7569,0,-1.6149,972.1435,972.1435,1.6149
AT,PE,10727.2168,14.6973,5.591,1.6132,38130.8651,38130.8651,1.6132
GR,CM,3650.5823,16.7547,0,-1.6127,17071.3206,17071.3206,1.6127
NG,PY,8136.6506,16.7543,0,-1.6123,-1902.2195,1902.2195,1.6123
ID,IL,9013.892,17.1285,1.7918,-1.612,-33722.3173,33722.3173,1.612
KR,YE,8047.7114,16.8986,0.69315,-1.6117,26548.4714,26548.4714,1.6117
IE,ZM,8155.7295,13.9899,2.1972,1.6113,60428.095,60428.095,1.6113
TW,LB,8140.4924,14.5734,4.9836,1.6102,14683.9953,14683.9953,1.6102
KR,PY,18505.6709,13.8219,1.3863,1.6099,23458.6015,23458.6015,1.6099
SG,BI,8230.3096,13.6776,0.69315,1.6093,52674.9867,52674.9867,1.6093
SK,PE,11118.5673,14.1486,2.9444,1.6088,10450.3376,10450.3376,1.6088
HU,ID,10405.8131,16.98,1.0986,-1.6083,9094.5526,9094.5526,1.6083
DO,NI,1735.8548,16.8944,0.69315,-1.6075,4570.8415,4570.8415,1.6075
PL,KE,6036.8345,17.7367,4.7274,-1.6067,10917.0573,10917.0573,1.6067
FI,US,7823.2979,17.1832,2.0794,-1.6066,-14376.5396,14376.5396,1.6066
CR,UG,12829.0633,14.018,2.3026,1.6053,11209.3293,11209.3293,1.6053
JP,SO,9853.0396,16.7456,0,-1.6036,38460.2589,38460.2589,1.6036
RU,GT,11309.4255,16.7448,0,-1.6027,4601.6204,4601.6204,1.6027
ES,BJ,3515.7952,17.5254,3.7377,-1.6022,25739.0514,25739.0514,1.6022
GB,ML,4204.2556,18.0175,6.1026,-1.6001,39118.8813,39118.8813,1.6001
SG,PK,4859.3871,17.6415,4.3041,-1.5999,51492.5212,51492.5212,1.5999
MY,DO,17322.2248,13.917,1.7918,1.5995,2780.3449,2780.3449,1.5995
OM,BJ,5875.6846,14.1473,2.8904,1.5988,14192.9175,14192.9175,1.5988
KW,CO,12760.2125,14.0069,2.1972,1.5943,23169.7947,23169.7947,1.5943
BR,PH,19317.5659,17.8672,5.4116,-1.5941,5698.8766,5698.8766,1.5941
NL,IQ,3711.8568,17.6431,4.3438,-1.5932,40685.1793,40685.1793,1.5932
MX,TZ,15083.8583,17.2544,2.4849,-1.593,7322.1124,7322.1124,1.593
NL,LA,8752.3922,14.2219,3.2189,1.5929,42941.6271,42941.6271,1.5929
LU,ID,11340.2925,13.9841,2.0794,1.5925,99261.0266,99261.0266,1.5925
BE,EC,9646.5646,14.5077,4.5747,1.5904,35127.1732,35127.1732,1.5904
SG,ZW,8448.507,14.0535,2.3979,1.5897,51952.1169,51952.1169,1.5897
AF,NI,14073.9355,13.8888,1.6094,1.5896,-1589.6033,1589.6033,1.5896
CA,LA,11141.9937,14.4963,4.5109,1.5885,39804.7751,39804.7751,1.5885
CR,PH,16236.6222,14.4593,4.3307,1.5879,8873.5662,8873.5662,1.5879
MY,TR,7712.5169,17.5457,3.912,-1.5861,-1285.0409,1285.0409,1.5861
BR,CG,7606.9152,16.7276,0,-1.5855,7121.7037,7121.7037,1.5855
RO,GH,4901.1912,16.957,1.0986,-1.5853,7960.6696,7960.6696,1.5853
AU,PH,4437.4746,18.6565,9.2354,-1.5843,46976.7476,46976.7476,1.5843
AF,KH,4450.5141,17.1326,1.9459,-1.5838,-708.1285,708.1285,1.5838
GT,JO,12312.8709,13.8492,1.3863,1.5826,58.8066,58.8066,1.5826
PT,EC,8434.5863,14.6817,5.366,1.5818,13844.3241,13844.3241,1.5818
DE,KE,6250.4491,18.4458,8.2454,-1.5805,40480.6988,40480.6988,1.5805
DM,DO,1004.5716,13.5619,0,1.5801,422.2311,422.2311,1.5801
EE,ML,5137.5699,13.7074,0.69315,1.5795,16794.1803,16794.1803,1.5795
